intervention,frequency
Cognitive-Behavioral Therapy (CBT),8
Dialectical Behavior Therapy (DBT),9
Solution-Focused Brief Therapy (SFBT),1
Mindfulness-Based Stress Reduction (MBSR),8
Trauma-Informed Care (TIC),1
Acceptance and Commitment Therapy (ACT),4
Exposure Therapy,3
Social Skills Training,1
Motivational Interviewing (MI),3
Family-Based Therapy,1
Mindfulness-Based Cognitive Therapy (MBCT),1
Eye Movement Desensitization and Reprocessing (EMDR) Therapy,1
Cognitive Behavioral Therapy for Insomnia (CBT-I),1
Medication Management Therapy,1
